clinic_name,country,city,website,email,phone,services,tier,ships_overseas,notes
Hanoi Medical University Hospital IVF Center,Vietnam,Hanoi,benhviendaihocyhanoi.com,benhviendhy@gmail.com,1900 6422,IVF/ICSI/IUI,2,Unknown,40%+ success rate. 1 Ton That Tung Dong Da.
Bach Mai Hospital IVF Support Unit,Vietnam,Hanoi,bachmai.gov.vn,bachmai@bachmai.gov.vn,024 3869 3731,IVF/ICSI/blastocyst culture,2,Unknown,MOH authorized IVF Dec 2013. Public hospital.
Vietnam Belgium Hospital,Vietnam,Hanoi,benhvienvietbi.vn,info@benhvienvietbi.vn,024 7300 2268,IVF/ICSI/IUI,2,Unknown,International Belgian collaboration.
Thien An Obstetrics Hospital,Vietnam,Hanoi,phusanthienan.com,contact@phusanthienan.com,1900 633 081,IVF/ICSI/IUI/ZIFT/GIFT,2,Unknown,Est. Jan 2020. Director: Prof Nguyen Viet Tien (IVF pioneer).
Hanoi Post Hospital IVF Center,Vietnam,Hanoi,hotrosinhsanbenhvienbuudien.com.vn,htssbd@gmail.com,0888 48 8118,IVF/IUI/PESA/micro-TESE,2,Unknown,49 Tran Dien Hoang Mai.
Hoe Nhai General Hospital IVF Unit,Vietnam,Hanoi,,hotrosinhsanhoenhai@gmail.com,0965 896 565,IVF/IUI,3,Unknown,Smaller public hospital unit.
Tu Du Hospital IVF Centre,Vietnam,Ho Chi Minh City,tudu.com.vn,tudu@tudu.com.vn,(028) 3952 6568,IVF/ICSI/IUI/genetics,1,Unknown,RTAC certified. Vietnam IVF pioneer. 16300+ IVF babies. Public hospital.
IVFMD (My Duc Hospital),Vietnam,Ho Chi Minh City,myduchospital.vn,ivfmd@myduchospital.vn,0901 313 717,IVF/ICSI/IUI/PGT-A/PGT-M/surrogacy,1,Likely via GENTIS,Research-active. Published peer-reviewed PGT-M research. 66.7% fresh success rate.
Hanh Phuc International Hospital,Vietnam,Ho Chi Minh City,hanhphuchospital.com,info@hanhphuchospital.com,1900 6765,IVF/ICSI/IUI/PGT/blastocyst,1,Yes - Genea/Superior A.R.T. partnership,RTAC (first in VN 2014). JCI Gold Seal 2019. Binh Duong near HCMC.
Tam Anh General Hospital HCMC,Vietnam,Ho Chi Minh City,tamanhhospital.vn,cskh.hcm@tamanhhospital.vn,028 7102 6789,IVF/ICSI/PGT/PGD/PGS/Timelapse,1,Unknown,RTAC certified. ISO 15189 lab. 78.7% success rate (2024).
Vinmec Central Park OLEA IVF,Vietnam,Ho Chi Minh City,oleafertility.com,info@oleafertility.com,0789 247 257,IVF/ICSI/IVM/FET/IUI/PGT,1,Unknown,JCI-accredited Vinmec network.
An Sinh Hospital / IVFAS,Vietnam,Ho Chi Minh City,ansinh.com.vn,bvansinh@hcm.vnn.vn,028 3845 7777,IVF/IUI/ICSI/PGT/cryo,1,Unknown,IVFAS unit est. 2009. 65% success rate.
IVF Van Hanh,Vietnam,Ho Chi Minh City,benhvienvanhanh.vn,ivfvanhanh@gmail.com,028 3862 3569,IVF/ICSI/IUI/GIFT/ZIFT/PGT/egg freezing,1,Unknown,Est. 2000. MOH licensed for IVF Feb 2008.
Saigon International OB-GYN Hospital (SIH),Vietnam,Ho Chi Minh City,sihospital.com.vn,cskh@sihospital.com.vn,0898 300 028,IVF/ICSI/PGT,1,Unknown,District 1. Explicitly advertises PGT.
IVFMD Gia Dinh (branch),Vietnam,Ho Chi Minh City,ivfmdgiadinh.vn,ivfmd@myduchospital.vn,0901 313 717,IVF/ICSI/assisted hatching,1,Unknown,Satellite branch opened Sep 2024. Same IVFMD network.
Superior A.R.T. Ho Chi Minh City,Vietnam,Ho Chi Minh City,superiorart.com.vn,,+84 28 3636 7799,IVF/ICSI/PGT-A/PGT-M/PGT-SR,1,Yes - ships to Bangkok/Sydney,Genea joint venture. International biopsy shipping established.
City International Hospital IVF Center,Vietnam,Ho Chi Minh City,cih.com.vn,info@cih.com.vn,1900 8146,IVF/ICSI/andrology,2,Unknown,JCI-accredited. IVF Center launched March 2025. ISO 6 lab.
Hung Vuong Hospital,Vietnam,Ho Chi Minh City,bvhungvuong.vn,bvhungvuong@yahoo.com,(028) 3855 8532,IVF/ICSI/IUI/surrogacy,2,Unknown,Major public maternity hospital. 50% ET / 60% FET success.
IVF Phuong Chau Saigon,Vietnam,Ho Chi Minh City,saigon.ivfphuongchau.com,ivfpcsg@phuongchau.com,1900 54 54 66,IVF/ICSI/IUI,2,Unknown,Part of Phuong Chau Healthcare Group. 70%+ success (ICSI-FET <35).
Mekong OB-GYN Hospital,Vietnam,Ho Chi Minh City,benhvienphusanmekong.com,info@mekonghospital.vn,1900 6113,IVF/ICSI/IUI,2,Unknown,110 beds. 200+ IVF babies by 2013.
Saigon IVF Hospital,Vietnam,Ho Chi Minh City,ivfsaigon.vn,ivfsaigonhospital@gmail.com,0968 682 222,IVF/ICSI/IUI,2,Unknown,Claims 80% success rates.
Saigon Reproductive & Andrology Hospital,Vietnam,Ho Chi Minh City,benhvienhiemmuonsaigon.vn,lienhe@benhvienhiemmuonsaigon.vn,033 758 6226,IVF/IUI/PIEZO ICSI/Time-Lapse AI,2,Unknown,Advanced lab (PIEZO ICSI / AI Time-Lapse). ISO 6 lab.
Alpha IVF & Women's Specialists,Malaysia,Kuala Lumpur,alphafertilitycentre.com,enquiry@alphafertilitycentre.com,+603 6141 6166,IVF/ICSI/PGT-A/PGT-M/PGT-SR,1,Yes - ships biopsies to external labs,Fertility Service Provider of Year Asia-Pacific. In-house genetics. WhatsApp: +60 14-941 6388.
Sunfert International Fertility Centre,Malaysia,Kuala Lumpur,sunfert.com,info@sunfert.com,+603 7622 8688,IVF/ICSI/PGT-A/PGT-M/Karyomapping/ERA/EMMA/ALICE,1,Likely,4 centres nationwide. WhatsApp: +60 18-230 1717.
Thomson Fertility Centre (TMC),Malaysia,Kuala Lumpur,tmcfertility.com,enquiries.ivf@tmclife.com,+603 6287 1000,IVF/ICSI/PGT-A/PGT-M,1,Likely,Est. 1994. RTAC-certified. Longest-running private fertility in MY. Formerly Tropicana Medical Centre.
KPJ Damansara Fertility Centre,Malaysia,Kuala Lumpur,ivffertility.com.my,enquiry@ivffertility.com.my,+603 7718 1000,IVF/ICSI/IUI/PGT-A/PGD,1,Unknown,Inside KPJ Damansara Specialist Hospital. 50-60% pregnancy rate.
Sunway Fertility Centre,Malaysia,Kuala Lumpur,sunwayfertility.com.my,fertility@sunwaymedical.com,+603 7491 6555,IVF/ICSI/PGT-M/genetic testing,1,Unknown,Part of Sunway Medical Centre. Separate from Sunfert.
Evelyn Fertility & Women's Specialist,Malaysia,Kuala Lumpur,evelynfertility.com,,+603 6151 4868,IVF/IUI/ICSI/PGT-A,1,Unknown,Dr Agilan Arjunan FRCOG. Two PJ locations. WhatsApp: +6012 694 4868.
Avisena Women's & Children's Hospital,Malaysia,Kuala Lumpur,womenandchildren.avisena.com.my,awcsh.careline@avisena.com.my,+603 5650 1188,IVF/ICSI/IUI/PGS/PGD/EmbryoScope,1,Unknown,Dedicated women's & children's hospital. Shah Alam.
Columbia Asia Hospital,Malaysia,Kuala Lumpur,columbiaasia.com/malaysia,customercare.pj@columbiaasia.com,+603 7949 9999,IVF/ICSI/ET/SSR/FET/PGD,1,Unknown,12 hospitals in Malaysia. Multiple KL-area locations.
KL Fertility Centre,Malaysia,Kuala Lumpur,klfertility.com,hello@klfertility.com,+603 2780 4288,IVF/ICSI/IUI,2,Unknown,40+ years. 20000+ babies. Affiliated with Monash IVF Group.
Metro IVF,Malaysia,Kuala Lumpur,metro.com.my,inquiry@metro.com.my,+6011 5555 0547,IVF/IUI/ICSI,2,Unknown,Est. 1989. First IVF baby 2000. 14+ branches nationwide.
Alhaya Fertility Centre,Malaysia,Kuala Lumpur,alhayafertility.com,enquiry@alhayafertility.com,+603 7627 0088,IVF/ICSI/Syariah-compliant,2,Unknown,Part of Alpha IVF Group. Muslim-friendly.
Sophea Fertility Centre,Malaysia,Kuala Lumpur,sopheafertility.com,info@sopheafertility.com,+603 7622 8622,IVF/IUI/Syariah-compliant,2,Unknown,Women-centric & Muslim-friendly. Also has Bangi branch.
Ever-Link Fertility Centre,Malaysia,Kuala Lumpur,everlinkivf.com.my,info@ever-linkivf.com,+603 5888 8335,IVF/IUI/ICSI,2,Unknown,Shah Alam. Associated with GenPrime.
Pantai Hospital KL,Malaysia,Kuala Lumpur,pantai.com.my/kuala-lumpur,,+603 2296 0888,IVF/ICSI/IUI,2,Unknown,IHH Healthcare. IVF package from RM13888. Contact form only.
Prince Court Medical Centre,Malaysia,Kuala Lumpur,princecourt.com,,+603 2160 0000,IVF/fertility,2,Unknown,PETRONAS-linked. Premium facility.
Gleneagles Hospital KL,Malaysia,Kuala Lumpur,gleneagles.com.my/kuala-lumpur,ghkl@gleneagles.com.my,+603 4141 3721,IVF/ICSI/IUI/GIFT/ZIFT,2,Unknown,IHH Healthcare group.
Global Doctors Hospital (Dr Hu Shan),Malaysia,Kuala Lumpur,datindrshannyhugynaefertility.com,drshannyhu@gmail.com,+6017 508 1925,IVF/reproductive medicine,2,Unknown,Solo practitioner. Mont Kiara.
UMMC Fertility Unit,Malaysia,Kuala Lumpur,ummc.edu.my,ruzn@um.edu.my,UMMC ext 2059,IVF/IUI,2,Unknown,Public university hospital. Lower cost but longer waits.
GGA Malaysia (genetics lab),Malaysia,Kuala Lumpur,ggasia.com.my,ggamalaysia-service@gga.asia,+603 2786 3747,PGT-A/PGT-M/carrier screening (lab only),Lab,Receives samples from clinics,CAP + ISO17025 + ISO15189 accredited. Key potential PGT-P partner.
Monash IVF KPJ Johor,Malaysia,Johor Bahru,monashivfkpj.com,contactus@monashivfkpj.com,+607 225 3190,IVF/ICSI/IUI/PGT-A/PGT-M/NIPT/Timelapse,1,Yes - Monash IVF Genetics lab (Australia),Est. 1994. RTAC standards. IVF from MYR 19500. WhatsApp: +6011 5851 4649.
TMC Fertility JB,Malaysia,Johor Bahru,tmcfertility.com/johor-bahru-branch,jb@tmcfertility.com,+607 278 0088,IVF/ICSI/IUI/PGT-A/PGT-M,1,Likely,JB branch since 2004. Part of Thomson Hospital chain.
Victory IVF Fertility Centre,Malaysia,Johor Bahru,vivfc.com,enquiry@vivfc.com,+607 272 2980,IVF/ICSI/IUI/PGT-A,1,Unknown,Pioneer IVF in JB. Hong Kong group est. 1998. Menara Landmark.
IVF Bridge Fertility Centre,Malaysia,Johor Bahru,ivfbridge.com.my,info@ivfbridge.com.my,+607 332 9968,IVF/ICSI/IUI/PGS/PGD,1,Unknown,Dr Tan Jui Seng. Southkey location.
Kensington Hospital Johor,Malaysia,Johor Bahru,kgsc.com.my,ivf@kgsc.com.my,+607 2133 888,IVF/ICSI/IUI/PGT/ERA/EMMA/ALICE/Timelapse,1,Unknown,Hospital-based. Iskandar Puteri. Opened Dec 2019.
GS IVF Centre @ Medini (Sincere Healthcare),Malaysia,Johor Bahru,gsivfcentre.com.my,gsivf@sincerehealthcare.com.sg,+607 560 1056,IVF/ICSI/IUI/PGT-A (3rd gen sequencing),1,Highly likely - SG parent co,SG-headquartered. Founded by Prof Ng Soon Chye. Inside Gleneagles Medini.
Regency Specialist Hospital,Malaysia,Johor Bahru,regencyspecialist.com,hscappointment@regencyspecialist.com,+607 381 7730,OB-GYN/fertility/IVF,2,Unknown,Masai (~30 min from central JB). No dedicated IVF centre.
SR Women & Children Specialist Clinic,Malaysia,Johor Bahru,srwomenchildrenspecialists.com.my,dr.tey@srwomenchildrenspecialists.com.my,+60 11 1992 3585,IUI/fertility consultation (refers IVF out),3,N/A,Gleneagles Hospital Johor. Refers advanced cases out.
KK Women's & Children's Hospital (KKIVF),Singapore,Singapore,kkh.com.sg,kkivf@kkh.com.sg,+65 6294 4050,IVF/ICSI/IUI/PGT-M/PGT-SR/PGT-A (pilot),1,,Public. PGT-A pilot trial site.
SGH Centre for Assisted Reproduction (CARE),Singapore,Singapore,sgh.com.sg,mysgh@sgh.com.sg,+65 6321 4377,IVF/ICSI/IUI/PGT-M/PGT-SR/PGT-A (pilot),1,,Public. PGT-A pilot trial site.
NUH Clinic for Human Reproduction (CHR),Singapore,Singapore,nuh.com.sg,CHR@nuhs.edu.sg,+65 6774 5336,IVF/ICSI/IUI/PGT-M/PGT-SR/PGT-A (pilot),1,,Public. Houses NUH PGDC - only MOH-approved PGT-M/SR testing lab in SG.
Alpha International Women's Specialists,Singapore,Singapore,alphaspecialists.com.sg,enquiry@alphaspecialists.com.sg,+65 6860 8888,IVF/ICSI/IUI/PGT-M/PGT-SR,1,,Private. Dr Tan Heng Hao.
Thomson Fertility Centre,Singapore,Singapore,thomsonfertility.com.sg,hello@bng.sg,+65 6252 7766,IVF/ICSI/IUI/PGT-M/PGT-SR,1,,Private. Dr Janice Tung. MOH approved PGT-M/PGT-SR centre.
Monash IVF Singapore,Singapore,Singapore,monashivf.com.sg,info.sg@monashivf.com,+65 6723 7889,IVF/ICSI/IUI/PGT-M/PGT-SR/PGT-A,1,Yes,Private. Australian parent. PGT-A not available in SG but accessible via international Monash IVF Group — CAN ship biopsies overseas. WhatsApp: +65 9183 5371.
Virtus Fertility Centre Singapore,Singapore,Singapore,virtusfertilitycentre.com.sg,enquiries@virtusfertilitycentre.com.sg,+65 6460 4555,IVF/ICSI/IUI/PGT-M/PGT-SR,1,,Private. Dr Roland Chieng. Samples sent to NUH PGDC.
Mount Elizabeth Fertility Centre,Singapore,Singapore,mountelizabeth.com.sg,ivf@parkwaypantai.com,+65 6731 2693,IVF/ICSI/IUI,2,,Parkway Pantai group. Est. 1988.
Health & Fertility Centre for Women,Singapore,Singapore,ivf.healthfertility.com.sg,info@healthfertility.com.sg,+65 6235 5066,IVF/ICSI/IUI,2,,Dr Kelly Loi.
Majella Women's Specialist,Singapore,Singapore,majella.sg,enquiry@majella.sg,+65 6993 6626,IVF/ICSI/IUI,2,,Dr Tan Heng Hao.
O&G Partners Fertility Centre,Singapore,Singapore,ogpartnersfertilitycentre.com,daphne.khoo@shg.com.sg,+65 6507 0766,IVF/ICSI/IUI,2,,Sincere Healthcare Group. Gleneagles Hospital.
Sincere IVF Center,Singapore,Singapore,sincereivfcenter.com,ivf@shg.com.sg,+65 6507 0766,IVF/ICSI/IUI/egg freezing,2,,Prof Soon-Chye Ng. 24/7 booking: +65 9088 0620.
CARE IVF (Foundation Women's Centre),Singapore,Singapore,careivf.com,careivf@fhg.com.sg,+65 6659 6638,IVF/ICSI/IUI,2,,SWC Medical Group.
Raffles Fertility Centre,Singapore,Singapore,rafflesmedicalgroup.com,fertility@rafflesmedical.com,+65 6311 1250,IVF/ICSI/IUI/cryo,2,,Raffles Medical Group.
Aspire Centre for Women & Fertility,Singapore,Singapore,aspirefertility.com.sg,,+65 6252 8333,IVF/ICSI/IUI/egg freezing,2,,Dr Fong Yang. Contact form only.
Seed of Life Fertility & Women's Care,Singapore,Singapore,seedoflifesingapore.com,drsureshnair@seedoflifesingapore.com,+65 6887 4264,IVF/ICSI/IUI,2,,Dr Suresh Nair (founding director of Monash IVF SG).
STO+G Laparoscopy & Fertility Practice,Singapore,Singapore,stogpractice.com,enquiry@stogpractice.com,+65 6980 2970,IVF/ICSI/IUI/egg freezing/laparoscopy,2,,Dr Steven Teo / Dr Liana Koe.
Wendy Women's Clinic,Singapore,Singapore,wendywomensclinic.com.sg,enquiry@wendywomensclinic.com.sg,+65 6250 1685,IVF/ICSI/IUI,2,,Mt Elizabeth Novena.
GynaeMD Women's & Rejuvenation Clinic,Singapore,Singapore,gynaemd.com.sg,gynaemd@singnet.com.sg,+65 6733 8810,IVF/ICSI/IUI,2,,Dr Christopher Ng. Camden Medical.
The O&G Specialist Clinic,Singapore,Singapore,ogclinic.com.sg,theogclinic@gmail.com,+65 6440 0800,IVF/ICSI/IUI/egg freezing,2,,Est. 2011.
Noel Leong Fertility & IVF Clinic,Singapore,Singapore,noelleong.com,,+65 6255 6883,IVF/ICSI/IUI/blastocyst/donor,2,,Dr Noel K Y Leong. Farrer Park.
Women Fertility & Fetal Centre,Singapore,Singapore,anntan.com.sg,,+65 6734 8188,IVF/ICSI/IUI,2,,Dr Ann Tan. Mt Elizabeth.
Motoko Clinic For Women,Singapore,Singapore,motokoclinic.com,motokoclinic@gmail.com,+65 6838 5366,IVF/ICSI/IUI,2,,Dr Motoko Yeo (also at Virtus).
Astra Centre for Women & Fertility,Singapore,Singapore,astrawomenspecialists.com,hello@astrawomenspecialists.com,+65 6353 3878,IVF/ICSI/IUI,2,,Singapore Medical Group (SMG).
Daniel Koh Clinic For Women and Fertility,Singapore,Singapore,danielkohclinic.com.sg,,+65 6473 7938,IVF/ICSI/IUI,2,,Dr Daniel Koh. MOH-accredited for ART.
Morula IVF,Indonesia,Jakarta,morulainvitro.co.id,,,,1,,Multiple locations. Largest IVF provider in Indonesia.
RSAB Harapan Kita,Indonesia,Jakarta,,,,,2,,
BIC (Bocah Indonesia Centre),Indonesia,Jakarta,,,,,2,,
Siloam Hospitals Fertility Clinic,Indonesia,Jakarta,siloamhospitals.com,,,,2,,
Bundamedik IVF Centre,Indonesia,Jakarta,,,,,2,,
RSIA Bunda Jakarta,Indonesia,Jakarta,,,,,2,,
RS Pondok Indah IVF,Indonesia,Jakarta,,,,,2,,
Jetanin Institute,Thailand,Bangkok,jetanin.com,,,,1,,Major fertility tourism hub.
Superior A.R.T.,Thailand,Bangkok,thaisuperiorart.com,,,,1,,Genea/Thai joint venture. Ships biopsies globally.
SAFE Fertility Group,Thailand,Bangkok,safefertilitygroup.com,,,,1,,
Bumrungrad Hospital Fertility Centre,Thailand,Bangkok,bumrungrad.com,,,,1,,
Bangkok Hospital Fertility Centre,Thailand,Bangkok,bangkokhospital.com,,,,1,,
IVF & Women Clinic (IWC),Thailand,Bangkok,iwclinic.com,,,,2,,
Genea Thailand / First Fertility,Thailand,Bangkok,firstfertility.com,,,,1,,
Phyathai Sriracha IVF,Thailand,Bangkok,,,,,2,,
Lam Wah Ee Hospital Fertility,Malaysia,Penang,,,,,2,,
Island Hospital Fertility,Malaysia,Penang,,,,,2,,
RIPAS Hospital Fertility Unit,Brunei,Bandar Seri Begawan,,,,,3,,Only IVF facility in Brunei.
